Generation,rabbit,sheep,deer,wolf,human,plant_mass
0,50,40,30,80,2,525618233633896595456.00
1,50,41,30,80,2,525618233633896595456.00
2,50,41,30,80,2,525618233633896595456.00
3,50,42,30,80,2,525618233633896595456.00
4,50,42,30,80,2,525618233633896595456.00
5,50,43,30,80,2,525618233633896595456.00
6,51,43,31,80,2,525618233633896595456.00
7,51,43,31,80,2,525618233633896595456.00
8,51,43,31,80,2,525618233633896595456.00
9,52,43,32,80,2,525618233633896595456.00
10,52,44,32,80,2,525618233633896595456.00
11,52,44,32,80,2,525618233633896595456.00
12,53,45,32,80,2,525618233633896595456.00
13,53,45,32,80,2,525618233633896595456.00
14,53,46,32,80,2,525618233633896595456.00
15,53,47,32,80,2,525618233633896595456.00
16,53,47,32,80,2,525618233633896595456.00
17,53,48,32,80,2,525618233633896595456.00
18,53,48,33,80,2,525618233633896595456.00
19,53,48,33,80,2,525618233633896595456.00
20,53,48,33,80,2,525618233633896595456.00
21,53,48,33,80,2,525618233633896595456.00
22,53,49,33,80,2,525618233633896595456.00
23,53,50,33,80,2,525618233633896595456.00
24,53,50,34,80,2,525618233633896595456.00
25,53,50,35,80,2,525618233633896595456.00
26,53,50,35,80,2,525618233633896595456.00
27,53,50,35,80,2,525618233633896595456.00
28,53,50,35,80,2,525618233633896595456.00
29,53,50,35,80,2,525618233633896595456.00
30,53,50,35,80,2,525618233633896595456.00
31,54,51,35,80,2,525618233633896595456.00
32,54,52,35,80,2,525618233633896595456.00
33,54,53,35,80,2,525618233633896595456.00
34,54,54,36,80,2,525618233633896595456.00
35,54,55,37,80,2,525618233633896595456.00
36,54,55,37,80,2,525618233633896595456.00
37,54,56,37,80,2,525618233633896595456.00
38,54,56,37,80,2,525618233633896595456.00
39,54,57,37,80,2,525618233633896595456.00
40,55,57,37,80,2,525618233633896595456.00
41,56,58,37,80,2,525618233633896595456.00
42,56,59,38,80,2,525618233633896595456.00
43,56,59,38,80,2,525618233633896595456.00
44,56,60,38,80,2,525618233633896595456.00
45,58,61,38,80,2,525618233633896595456.00
46,59,61,38,80,2,525618233633896595456.00
47,61,62,38,80,2,525618233633896595456.00
48,61,62,38,80,2,525618233633896595456.00
49,62,62,39,79,2,525618233633896595456.00
50,62,62,40,79,2,525618233633896595456.00
51,63,62,41,79,2,525618233633896595456.00
52,63,63,41,79,2,525618233633896595456.00
53,63,63,43,79,2,525618233633896595456.00
54,64,64,43,79,2,525618233633896595456.00
55,64,64,44,79,2,525618233633896595456.00
56,65,64,44,79,2,525618233633896595456.00
57,65,64,44,79,2,525618233633896595456.00
58,66,64,44,79,2,525618233633896595456.00
59,66,66,44,78,2,525618233633896595456.00
60,66,66,45,78,2,525618233633896595456.00
61,66,66,45,78,2,525618233633896595456.00
62,66,67,45,78,2,525618233633896595456.00
63,67,68,45,78,2,525618233633896595456.00
64,67,69,46,78,2,525618233633896595456.00
65,67,69,46,78,2,525618233633896595456.00
66,67,70,46,78,2,525618233633896595456.00
67,67,71,46,78,2,525618233633896595456.00
68,68,71,46,78,2,525618233633896595456.00
69,68,71,46,77,2,525618233633896595456.00
70,69,71,46,77,2,525618233633896595456.00
71,69,72,46,77,2,525618233633896595456.00
72,69,73,46,76,2,525618233633896595456.00
73,69,75,46,76,2,525618233633896595456.00
74,69,77,47,76,2,525618233633896595456.00
75,69,77,47,76,2,525618233633896595456.00
76,69,77,47,76,2,525618233633896595456.00
77,69,77,47,76,2,525618233633896595456.00
78,70,78,47,76,2,525618233633896595456.00
79,70,79,47,76,2,525618233633896595456.00
80,71,79,47,76,2,525618233633896595456.00
81,71,80,47,76,2,525618233633896595456.00
82,71,81,47,76,2,525618233633896595456.00
83,71,82,47,76,2,525618233633896595456.00
84,71,83,47,76,2,525618233633896595456.00
85,71,85,47,76,2,525618233633896595456.00
86,71,86,48,76,2,525618233633896595456.00
87,72,87,48,76,2,525618233633896595456.00
88,72,88,48,76,2,525618233633896595456.00
89,73,88,48,76,2,525618233633896595456.00
90,73,90,48,75,2,525618233633896595456.00
91,73,90,48,75,2,525618233633896595456.00
92,74,91,48,75,2,525618233633896595456.00
93,74,92,49,75,2,525618233633896595456.00
94,74,92,49,75,2,525618233633896595456.00
95,74,92,49,75,2,525618233633896595456.00
96,74,94,49,75,2,525618233633896595456.00
97,75,95,49,75,2,525618233633896595456.00
98,75,97,49,75,2,525618233633896595456.00
99,75,98,49,75,2,525618233633896595456.00
100,76,100,49,75,2,525618233633896595456.00
101,76,101,49,75,2,525618233633896595456.00
102,76,102,49,75,2,525618233633896595456.00
103,76,103,49,75,2,525618233633896595456.00
104,76,104,49,75,2,525618233633896595456.00
105,77,105,49,75,2,525618233633896595456.00
106,77,106,49,75,2,525618233633896595456.00
107,77,107,49,75,2,525618233633896595456.00
108,77,109,49,75,2,525618233633896595456.00
109,77,110,49,74,2,525618233633896595456.00
110,77,112,50,74,2,525618233633896595456.00
111,77,114,50,74,2,525618233633896595456.00
112,77,115,50,74,2,525618233633896595456.00
113,77,117,50,73,2,525618233633896595456.00
114,78,119,50,73,2,525618233633896595456.00
115,78,121,50,73,2,525618233633896595456.00
116,78,122,51,73,2,525618233633896595456.00
